GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
PVRL2,19,44846136,44889228,141,30,8816,12.558,1.7934e-36,5e-10,1e-50,3.29608986e-32,1.706765835e-06,6.12633333333333e-47
TOMM40,19,44891220,44903689,40,12,8816,12.179,2.0018e-34,5e-10,1e-50,1.83955411e-30,1.706765835e-06,6.12633333333333e-47
APOC1,19,44914325,44919349,9,6,8816,11.866,8.8675e-33,1.3214e-10,1e-50,5.43252608333333e-29,1.21430053e-06,6.12633333333333e-47
APOE,19,44905749,44909395,4,3,8816,10.247,6.0927e-25,5e-10,3.5419e-37,2.7994433325e-21,1.706765835e-06,1.6274145025e-33
BCAM,19,44809059,44821421,31,14,8816,9.4013,2.6951e-21,5.5719e-10,1.196e-25,9.90664858e-18,1.706765835e-06,4.3962568e-22
RELB,19,45001449,45038198,63,21,8816,7.6968,6.978e-15,9.4432e-10,4.67e-16,2.1374777e-11,2.47937961142857e-06,1.43049883333333e-12
CLPTM1,19,44954585,44993346,85,14,8816,7.3059,1.377e-13,9.3503e-09,2.672e-15,3.61541185714286e-10,2.14811454625e-05,7.01552685714286e-12
BCL3,19,44748045,44760044,20,11,8816,6.6732,1.2514e-11,6.1831e-11,2.762e-09,2.874935075e-08,1.136391949e-06,5.64031088888889e-06
LOC105372417,19,44742615,44748454,6,4,8816,5.4316,2.7929e-08,3.3579e-06,1.388e-09,5.70341212222222e-05,0.00617148441,3.1887565e-06
EXOC3L2,19,45212621,45234211,85,13,8816,4.7943,8.1619e-07,0.0009773,1.3429e-06,0.001500075601,0.262337584202899,0.00246811591
CBLC,19,44777861,44800646,46,14,8816,4.7743,9.0183e-07,1.1539e-06,1.4095e-05,0.00150679396090909,0.00235639201111111,0.0235501822727273
BLOC1S3,19,45178745,45217078,131,34,8816,4.612,1.9939e-06,1.0232e-05,5.5441e-05,0.00305382400833333,0.015952972,0.0727821527857143
ZNF493,19,21397119,21427495,84,11,8816,4.3861,5.771e-06,1.5396e-05,0.00014362,0.00790887753571429,0.0202116488571429,0.131979599
CYB561,17,63432304,63446361,13,7,8816,4.3767,6.0245e-06,1.4495e-05,2.8386e-05,0.00790887753571429,0.0202116488571429,0.0434755245
ZNF429,19,21505635,21538277,73,9,8816,4.2051,1.3049e-05,2.9831e-05,0.00045703,0.0159885047333333,0.0363601487058823,0.26355486
MTF2,1,93079235,93139081,63,10,8816,4.0691,2.3593e-05,3.3014e-05,0.00021839,0.0271009841875,0.0363601487058823,0.182444991363636
PCIF1,20,45934674,45948023,18,10,8816,3.9769,3.4913e-05,1.0416e-05,0.00078799,0.0377450604117647,0.015952972,0.297199033269231
APOC4,19,44942238,44945496,5,3,8816,3.9137,4.5442e-05,3.3632e-05,0.00011414,0.0463988065555556,0.0363601487058823,0.116543281111111
VENTX,10,133237904,133241930,21,6,8816,3.3533,0.00039932,0.074396,3.1352e-05,0.166797779090909,0.709608707317073,0.0443244929230769
