GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
PVRL2,19,44846136,44889228,141,30,9675,13.401,2.976e-41,3.203e-14,1e-50,5.4689952e-37,2.94307655e-10,6.12566666666667e-47
APOC1,19,44914325,44919349,9,6,9675,12.393,1.42e-35,4.3854e-15,1e-50,1.304767e-31,8.05904958e-11,6.12566666666667e-47
TOMM40,19,44891220,44903689,40,12,9675,12.211,1.3615e-34,5e-10,1e-50,8.34009516666667e-31,2.297125e-06,6.12566666666667e-47
APOE,19,44905749,44909395,4,3,9675,10.514,3.7224e-26,5e-10,2.0265e-39,1.71016362e-22,2.297125e-06,9.310247625e-36
MS4A6A,11,60171607,60184666,17,4,9675,4.6941,1.3387e-06,1.5464e-06,2.6582e-06,0.00492025798,0.00568363856,0.00976994828
MS4A4E,11,60201253,60243114,100,15,9675,4.617,1.947e-06,8.851e-06,1.793e-05,0.0059633365,0.0180727585555556,0.0470713728571429
SLCO1A2,12,21264600,21403657,407,50,9675,4.5453,2.7425e-06,3.0594e-06,0.00017758,0.00719984607142857,0.00803179911428571,0.190678390740741
GNA12,7,2728105,2870656,433,40,9675,4.4976,3.4368e-06,2.8282e-06,0.00019549,0.0078947592,0.00803179911428571,0.190678390740741
LAMTOR4,7,100148907,100154210,4,2,9675,4.3667,6.3077e-06,4.1494e-06,1.2545e-05,0.0128796225444444,0.009531690475,0.0384232441666667
GAL3ST4,7,100159242,100168750,11,5,9675,4.2733,9.6313e-06,1.6248e-05,7.5369e-05,0.01769944001,0.024882458,0.125914192090909
PPP1R12A,12,79773563,79935455,159,14,9675,4.1935,1.3736e-05,5.6718e-05,0.00044486,0.0229478610909091,0.0694871124,0.247733097575758
AP4M1,7,100101412,100107180,9,5,9675,4.0512,2.5479e-05,1.5909e-05,0.00022408,0.03901896525,0.024882458,0.190678390740741
AMZ1,7,2679522,2765679,315,47,9675,4.0204,2.9045e-05,1.0375e-05,0.001022,0.0410584588461538,0.0190661375,0.354364037735849
NAGPA,16,5024844,5033941,25,10,9675,3.6708,0.0001209,3.2898e-05,0.0013649,0.111088965,0.0465051189230769,0.388395110606061
